學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
1076,華夏科技大學,D 日,5 五專,601,508,93,114,28,81,20,107,28,84,11,118,6,-,-,-,-,4,-,01 新北市,2 技職
1076,華夏科技大學,N 職,M 碩士,70,48,22,18,9,18,10,12,3,-,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1076,華夏科技大學,N 修,B 四技,870,472,398,125,73,116,125,93,86,110,100,-,-,-,-,-,-,28,14,01 新北市,2 技職
1076,華夏科技大學,N 修,C 二技,708,402,306,-,-,-,-,198,162,196,138,-,-,-,-,-,-,8,6,01 新北市,2 技職
1076,華夏科技大學,N 修,2 二專,206,96,110,47,51,40,53,-,-,-,-,-,-,-,-,-,-,9,6,01 新北市,2 技職
1077,慈濟科技大學,D 日,M 碩士,41,16,25,5,14,8,9,2,2,1,-,-,-,-,-,-,-,-,-,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,B 四技,"1,280",499,781,117,188,128,204,108,191,108,176,-,-,-,-,-,-,38,22,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,C 二技,276,28,248,-,-,-,-,12,123,16,124,-,-,-,-,-,-,-,1,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,2 二專,32,12,20,4,10,8,10,-,-,-,-,-,-,-,-,-,-,-,-,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,5 五專,"1,362",194,"1,168",48,262,38,237,41,211,38,206,27,221,-,-,-,-,2,31,15 花蓮縣,2 技職
1077,慈濟科技大學,N 修,C 二技,172,10,162,-,-,-,-,7,92,2,68,-,-,-,-,-,-,1,2,15 花蓮縣,2 技職
1078,致理科技大學,D 日,M 碩士,50,9,41,3,17,3,14,2,4,1,5,-,1,-,-,-,-,-,-,01 新北市,2 技職
1078,致理科技大學,D 日,B 四技,"6,384","2,094","4,290",568,"1,032",464,"1,076",469,"1,048",455,973,-,-,-,-,-,-,138,161,01 新北市,2 技職
1078,致理科技大學,D 日,C 二技,223,48,175,-,-,-,-,20,89,28,82,-,-,-,-,-,-,-,4,01 新北市,2 技職
1078,致理科技大學,D 日,5 五專,"1,580",334,"1,246",69,266,78,243,78,244,46,244,58,229,-,-,-,-,5,20,01 新北市,2 技職
1078,致理科技大學,N 職,M 碩士,44,14,30,4,9,4,11,4,5,1,-,1,5,-,-,-,-,-,-,01 新北市,2 技職
1078,致理科技大學,N 修,B 四技,"3,288","1,336","1,952",347,483,314,440,328,449,242,448,-,-,-,-,-,-,105,132,01 新北市,2 技職
1078,致理科技大學,N 修,C 二技,6,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,01 新北市,2 技職
1079,康寧大學,D 日,M 碩士,24,9,15,-,-,2,5,3,4,3,6,1,-,-,-,-,-,-,-,30 臺北市,1 一般
1079,康寧大學,D 日,B 學士,269,79,190,13,46,12,39,8,50,36,45,-,-,-,-,-,-,10,10,30 臺北市,1 一般
1079,康寧大學,D 日,2 二專,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,30 臺北市,2 技職
1079,康寧大學,D 日,5 五專,"2,783",679,"2,104",148,446,145,388,117,419,130,387,125,416,-,-,-,-,14,48,30 臺北市,2 技職
1079,康寧大學,N 職,M 碩士,26,7,19,-,-,-,1,4,8,2,8,1,2,-,-,-,-,-,-,30 臺北市,1 一般
1079,康寧大學,N 修,C 二技,153,11,142,-,-,-,-,6,93,5,49,-,-,-,-,-,-,-,-,30 臺北市,2 技職
1079,康寧大學,N 修,2 二專,178,47,131,24,69,23,59,-,-,-,-,-,-,-,-,-,-,-,3,30 臺北市,2 技職
1079,康寧大學,P 進,B 學士,31,23,8,-,-,-,2,1,1,18,4,-,-,-,-,-,-,4,1,30 臺北市,1 一般
1080,宏國德霖科技大學,D 日,M 碩士,13,7,6,7,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1080,宏國德霖科技大學,D 日,B 四技,"2,063","1,256",807,256,172,307,217,323,204,283,189,-,-,-,-,-,-,87,25,01 新北市,2 技職
1080,宏國德霖科技大學,D 日,C 二技,73,24,49,-,-,-,-,16,19,8,29,-,-,-,-,-,-,-,1,01 新北市,2 技職
1080,宏國德霖科技大學,D 日,5 五專,"1,158",701,457,152,98,125,84,129,96,121,79,167,91,-,-,-,-,7,9,01 新北市,2 技職
1080,宏國德霖科技大學,N 修,B 四技,"1,219",764,455,207,118,195,115,218,117,72,80,-,-,-,-,-,-,72,25,01 新北市,2 技職
1080,宏國德霖科技大學,N 修,C 二技,787,453,334,-,-,-,-,209,175,228,153,-,-,-,-,-,-,16,6,01 新北市,2 技職
1080,宏國德霖科技大學,N 修,2 二專,57,21,36,6,19,13,17,-,-,-,-,-,-,-,-,-,-,2,-,01 新北市,2 技職
1081,東方設計大學,D 日,D 博士,32,15,17,3,2,1,5,5,2,4,4,1,4,1,-,-,-,-,-,12 高雄市,2 技職
1081,東方設計大學,D 日,M 碩士,80,29,51,14,28,6,10,4,9,5,4,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1081,東方設計大學,D 日,B 四技,687,407,280,52,35,39,37,103,82,180,105,-,-,-,-,-,-,33,21,12 高雄市,2 技職
1081,東方設計大學,D 日,C 二技,39,19,20,-,-,-,-,4,8,11,11,-,-,-,-,-,-,4,1,12 高雄市,2 技職
1081,東方設計大學,D 日,5 五專,715,311,404,19,49,56,50,52,67,85,109,92,121,-,-,-,-,7,8,12 高雄市,2 技職
1081,東方設計大學,N 職,M 碩士,46,22,24,15,18,5,6,1,-,1,-,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1081,東方設計大學,N 修,B 四技,85,47,38,9,7,6,2,21,3,10,24,-,-,-,-,-,-,1,2,12 高雄市,2 技職
1081,東方設計大學,N 修,C 二技,256,138,118,-,-,-,-,71,58,59,58,-,-,-,-,-,-,8,2,12 高雄市,2 技職
1081,東方設計大學,N 修,2 二專,132,68,64,40,23,28,41,-,-,-,-,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1082,崇右影藝科技大學,D 日,M 碩士,80,45,35,26,14,16,15,2,6,1,-,-,-,-,-,-,-,-,-,17 基隆市,2 技職
1082,崇右影藝科技大學,D 日,B 四技,"1,650",725,925,120,190,144,220,223,221,151,240,-,-,-,-,-,-,87,54,17 基隆市,2 技職
1082,崇右影藝科技大學,D 日,5 五專,36,19,17,-,-,-,-,-,-,-,-,18,15,-,-,-,-,1,2,17 基隆市,2 技職
1082,崇右影藝科技大學,N 修,C 二技,510,250,260,-,-,-,-,78,58,168,200,-,-,-,-,-,-,4,2,17 基隆市,2 技職
1082,崇右影藝科技大學,N 修,2 二專,333,195,138,73,60,114,74,-,-,-,-,-,-,-,-,-,-,8,4,17 基隆市,2 技職
1083,台北海洋科技大學,D 日,M 碩士,147,82,65,39,28,31,27,10,8,2,2,-,-,-,-,-,-,-,-,01 新北市,2 技職
1083,台北海洋科技大學,D 日,B 四技,"2,251","1,261",990,260,228,300,252,297,228,278,226,-,-,-,-,-,-,126,56,01 新北市,2 技職
1083,台北海洋科技大學,D 日,C 二技,216,143,73,-,-,-,-,48,32,84,35,-,-,-,-,-,-,11,6,01 新北市,2 技職
1083,台北海洋科技大學,D 日,2 二專,51,50,1,27,1,15,-,-,-,-,-,-,-,-,-,-,-,8,-,01 新北市,2 技職
1083,台北海洋科技大學,D 日,5 五專,846,522,324,96,57,107,64,84,69,97,45,105,76,-,-,-,-,33,13,01 新北市,2 技職
1083,台北海洋科技大學,N 修,B 四技,205,92,113,39,57,20,20,24,18,6,15,-,-,-,-,-,-,3,3,01 新北市,2 技職
1083,台北海洋科技大學,N 修,C 二技,356,136,220,-,-,-,-,96,138,38,81,-,-,-,-,-,-,2,1,01 新北市,2 技職
1083,台北海洋科技大學,N 修,2 二專,120,94,26,27,10,63,15,-,-,-,-,-,-,-,-,-,-,4,1,01 新北市,2 技職
1125,中信金融管理學院,D 日,M 碩士,102,47,55,27,37,13,15,7,3,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
1125,中信金融管理學院,D 日,B 學士,694,392,302,134,96,110,69,88,66,52,68,-,-,-,-,-,-,8,3,21 臺南市,1 一般
1125,中信金融管理學院,N 職,M 碩士,29,21,8,21,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21 臺南市,1 一般
1148,大漢技術學院,D 日,M 碩士,81,53,28,23,16,18,12,12,-,-,-,-,-,-,-,-,-,-,-,15 花蓮縣,2 技職
1148,大漢技術學院,D 日,B 四技,255,152,103,30,18,35,25,36,33,43,27,-,-,-,-,-,-,8,-,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,B 四技,295,188,107,78,39,37,26,38,20,29,20,-,-,-,-,-,-,6,2,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,C 二技,239,139,100,-,-,-,-,69,59,63,39,-,-,-,-,-,-,7,2,15 花蓮縣,2 技職
1148,大漢技術學院,N 修,2 二專,129,73,56,35,24,37,31,-,-,-,-,-,-,-,-,-,-,1,1,15 花蓮縣,2 技職
1159,和春技術學院,D 日,M 碩士,3,2,1,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1159,和春技術學院,D 日,B 四技,149,117,32,16,3,21,5,33,7,30,10,-,-,-,-,-,-,17,7,12 高雄市,2 技職
1159,和春技術學院,D 日,C 二技,4,4,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,12 高雄市,2 技職
1159,和春技術學院,D 日,5 五專,80,47,33,-,-,3,-,4,4,11,14,25,15,-,-,-,-,4,-,12 高雄市,2 技職
1159,和春技術學院,N 修,B 四技,73,57,16,9,-,9,4,11,3,17,6,-,-,-,-,-,-,11,3,12 高雄市,2 技職
1159,和春技術學院,N 修,C 二技,239,158,81,-,-,-,-,64,29,87,51,-,-,-,-,-,-,7,1,12 高雄市,2 技職
1159,和春技術學院,N 修,2 二專,140,108,32,37,8,61,21,-,-,-,-,-,-,-,-,-,-,10,3,12 高雄市,2 技職
1166,亞東技術學院,D 日,M 碩士,50,42,8,15,2,16,2,8,3,3,1,-,-,-,-,-,-,-,-,01 新北市,2 技職
1166,亞東技術學院,D 日,B 四技,"4,018","2,904","1,114",678,267,722,289,736,259,646,276,-,-,-,-,-,-,122,23,01 新北市,2 技職
1166,亞東技術學院,D 日,C 二技,178,12,166,-,-,-,-,4,85,8,81,-,-,-,-,-,-,-,-,01 新北市,2 技職
1166,亞東技術學院,N 修,C 二技,142,1,141,-,-,-,-,-,51,1,46,-,44,-,-,-,-,-,-,01 新北市,2 技職
1168,南亞技術學院,D 日,M 碩士,13,11,2,2,1,5,1,4,-,-,-,-,-,-,-,-,-,-,-,03 桃園市,2 技職
1168,南亞技術學院,D 日,B 四技,"1,312",831,481,221,107,240,110,182,119,142,114,-,-,-,-,-,-,46,31,03 桃園市,2 技職
1168,南亞技術學院,D 日,5 五專,263,151,112,18,12,26,15,30,24,32,18,38,40,-,-,-,-,7,3,03 桃園市,2 技職
1168,南亞技術學院,N 修,B 四技,522,340,182,49,51,85,33,80,45,83,45,-,-,-,-,-,-,43,8,03 桃園市,2 技職
1168,南亞技術學院,N 修,C 二技,"1,193",539,654,-,-,-,-,277,322,256,328,-,-,-,-,-,-,6,4,03 桃園市,2 技職
1168,南亞技術學院,N 修,2 二專,60,44,16,20,8,17,4,-,-,-,-,-,-,-,-,-,-,7,4,03 桃園市,2 技職
1176,稻江科技暨管理學院,D 日,M 碩士,21,7,14,-,-,3,13,-,-,-,-,3,-,1,1,-,-,-,-,10 嘉義縣,1 一般
1176,稻江科技暨管理學院,D 日,B 學士,122,70,52,-,-,1,-,18,23,49,28,-,-,-,-,-,-,2,1,10 嘉義縣,1 一般
1176,稻江科技暨管理學院,N 職,M 碩士,11,9,2,-,-,8,2,-,-,1,-,-,-,-,-,-,-,-,-,10 嘉義縣,1 一般
1176,稻江科技暨管理學院,N 修,C 二技,24,7,17,-,-,-,-,-,-,7,17,-,-,-,-,-,-,-,-,10 嘉義縣,2 技職
1176,稻江科技暨管理學院,P 進,B 學士,98,35,63,-,-,12,11,5,8,18,39,-,-,-,-,-,-,-,5,10 嘉義縣,1 一般
1182,蘭陽技術學院,D 日,B 四技,226,124,102,13,14,14,6,54,41,37,32,-,-,-,-,-,-,6,9,02 宜蘭縣,2 技職
1182,蘭陽技術學院,D 日,5 五專,216,126,90,7,9,10,8,29,21,26,19,45,26,-,-,-,-,9,7,02 宜蘭縣,2 技職
1182,蘭陽技術學院,N 修,C 二技,66,35,31,-,-,-,-,35,31,-,-,-,-,-,-,-,-,-,-,02 宜蘭縣,2 技職
1182,蘭陽技術學院,N 修,2 二專,5,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,02 宜蘭縣,2 技職
1183,黎明技術學院,D 日,B 四技,"3,498","1,879","1,619",384,408,456,446,559,408,396,321,-,-,-,-,-,-,84,36,01 新北市,2 技職
1183,黎明技術學院,D 日,5 五專,423,352,71,63,16,50,10,71,11,73,13,79,19,-,-,-,-,16,2,01 新北市,2 技職
1183,黎明技術學院,N 修,B 四技,"1,197",741,456,266,183,189,99,142,108,135,60,-,-,-,-,-,-,9,6,01 新北市,2 技職
1183,黎明技術學院,N 修,C 二技,73,7,66,-,-,-,-,6,28,-,35,-,-,-,-,-,-,1,3,01 新北市,2 技職
1185,經國管理暨健康學院,D 日,M 碩士,44,4,40,2,19,2,19,-,2,-,-,-,-,-,-,-,-,-,-,17 基隆市,2 技職
1185,經國管理暨健康學院,D 日,B 四技,"1,880",708,"1,172",122,201,194,337,181,292,151,262,-,-,-,-,-,-,60,80,17 基隆市,2 技職
1185,經國管理暨健康學院,D 日,C 二技,162,24,138,-,-,-,-,14,77,9,57,-,-,-,-,-,-,1,4,17 基隆市,2 技職
1185,經國管理暨健康學院,D 日,5 五專,"1,064",301,763,49,147,72,134,65,146,42,134,61,147,-,-,-,-,12,55,17 基隆市,2 技職
1185,經國管理暨健康學院,N 職,M 碩士,43,5,38,2,18,3,15,-,1,-,4,-,-,-,-,-,-,-,-,17 基隆市,2 技職
1185,經國管理暨健康學院,N 修,B 四技,37,11,26,-,-,-,-,-,-,5,19,-,-,-,-,-,-,6,7,17 基隆市,2 技職
1185,經國管理暨健康學院,N 修,C 二技,776,138,638,-,-,-,-,68,309,54,309,-,-,-,-,-,-,16,20,17 基隆市,2 技職
1185,經國管理暨健康學院,N 修,2 二專,215,43,172,27,86,9,82,-,-,-,-,-,-,-,-,-,-,7,4,17 基隆市,2 技職
1188,大同技術學院,D 日,B 四技,545,244,301,35,29,29,47,88,92,68,112,-,-,-,-,-,-,24,21,20 嘉義市,2 技職
1188,大同技術學院,D 日,5 五專,89,48,41,4,5,7,5,7,10,11,8,18,12,-,-,-,-,1,1,20 嘉義市,2 技職
1188,大同技術學院,N 修,B 四技,196,71,125,26,37,16,31,19,26,8,25,-,-,-,-,-,-,2,6,20 嘉義市,2 技職
1188,大同技術學院,N 修,C 二技,245,62,183,-,-,-,-,43,87,13,82,-,-,-,-,-,-,6,14,20 嘉義市,2 技職
1188,大同技術學院,N 修,2 二專,62,27,35,14,14,12,19,-,-,-,-,-,-,-,-,-,-,1,2,20 嘉義市,2 技職
1192,臺灣觀光學院,D 日,M 碩士,16,9,7,6,3,3,3,-,-,-,1,-,-,-,-,-,-,-,-,15 花蓮縣,2 技職
1192,臺灣觀光學院,D 日,B 四技,93,52,41,4,3,11,9,11,12,14,11,-,-,-,-,-,-,12,6,15 花蓮縣,2 技職
1192,臺灣觀光學院,D 日,5 五專,55,23,32,-,3,5,2,1,2,3,9,13,14,-,-,-,-,1,2,15 花蓮縣,2 技職
1192,臺灣觀光學院,N 修,B 四技,37,12,25,1,5,6,3,1,10,4,7,-,-,-,-,-,-,-,-,15 花蓮縣,2 技職
1192,臺灣觀光學院,N 修,C 二技,33,14,19,-,-,-,-,9,10,5,8,-,-,-,-,-,-,-,1,15 花蓮縣,2 技職
1192,臺灣觀光學院,N 修,2 二專,34,15,19,7,9,8,10,-,-,-,-,-,-,-,-,-,-,-,-,15 花蓮縣,2 技職
1195,馬偕醫學院,D 日,D 博士,5,5,-,3,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,01 新北市,1 一般
1195,馬偕醫學院,D 日,M 碩士,66,19,47,9,24,3,8,4,9,3,6,-,-,-,-,-,-,-,-,01 新北市,1 一般
1195,馬偕醫學院,D 日,B 學士,691,247,444,59,95,42,118,47,111,38,75,24,17,29,20,1,-,7,8,01 新北市,1 一般
1195,馬偕醫學院,N 職,M 碩士,15,4,11,4,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,01 新北市,1 一般
1195,馬偕醫學院,N 修,C 二技,39,2,37,-,-,-,-,2,37,-,-,-,-,-,-,-,-,-,-,01 新北市,2 技職
1196,法鼓文理學院,D 日,D 博士,20,9,11,3,1,1,1,3,1,-,3,-,-,1,4,1,1,-,-,01 新北市,1 一般
1196,法鼓文理學院,D 日,M 碩士,231,68,163,20,44,19,40,10,39,19,40,-,-,-,-,-,-,-,-,01 新北市,1 一般
1196,法鼓文理學院,D 日,B 學士,51,19,32,6,3,4,12,5,10,3,7,-,-,-,-,-,-,1,-,01 新北市,1 一般
1282,馬偕醫護管理專科學校,D 日,2 二專,32,5,27,-,-,3,25,-,-,-,-,-,-,-,-,-,-,2,2,30 臺北市,2 技職
1282,馬偕醫護管理專科學校,D 日,5 五專,"3,852",480,"3,372",117,711,95,656,81,643,88,637,84,645,-,-,-,-,15,80,30 臺北市,2 技職
1282,馬偕醫護管理專科學校,N 修,2 二專,222,103,119,57,62,37,53,-,-,-,-,-,-,-,-,-,-,9,4,30 臺北市,2 技職
1283,仁德醫護管理專科學校,D 日,5 五專,"6,117","1,358","4,759",318,973,267,911,239,903,223,890,217,865,-,-,-,-,94,217,05 苗栗縣,2 技職
1283,仁德醫護管理專科學校,N 修,2 二專,398,188,210,121,141,63,68,-,-,-,-,-,-,-,-,-,-,4,1,05 苗栗縣,2 技職
1284,樹人醫護管理專科學校,D 日,5 五專,"6,727","1,478","5,249",285,"1,195",322,"1,064",299,"1,029",255,904,245,895,-,-,-,-,72,162,12 高雄市,2 技職
1284,樹人醫護管理專科學校,N 修,2 二專,552,307,245,130,105,117,106,28,16,29,18,-,-,-,-,-,-,3,-,12 高雄市,2 技職
1285,慈惠醫護管理專科學校,D 日,2 二專,97,30,67,11,29,14,34,-,-,-,-,-,-,-,-,-,-,5,4,13 屏東縣,2 技職
1285,慈惠醫護管理專科學校,D 日,5 五專,"3,614",781,"2,833",108,422,142,492,158,529,137,533,162,679,-,-,-,-,74,178,13 屏東縣,2 技職
1285,慈惠醫護管理專科學校,N 修,2 二專,266,100,166,46,81,33,57,9,11,5,3,-,-,-,-,-,-,7,14,13 屏東縣,2 技職
1286,耕莘健康管理專科學校,D 日,5 五專,"4,574",442,"4,132",83,728,71,739,91,798,85,839,78,839,-,-,-,-,34,189,01 新北市,2 技職
1286,耕莘健康管理專科學校,N 修,2 二專,124,4,120,3,58,1,59,-,-,-,-,-,-,-,-,-,-,-,3,01 新北市,2 技職
1287,敏惠醫護管理專科學校,D 日,5 五專,"3,903",495,"3,408",117,691,100,668,93,679,72,649,94,627,-,-,-,-,19,94,11 臺南市,2 技職
1287,敏惠醫護管理專科學校,N 修,2 二專,33,7,26,7,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11 臺南市,2 技職
1289,育英醫護管理專科學校,D 日,5 五專,"1,991",224,"1,767",42,364,51,317,39,347,43,354,36,337,-,-,-,-,13,48,50 高雄市,2 技職
1291,聖母醫護管理專科學校,D 日,2 二專,39,25,14,8,10,17,4,-,-,-,-,-,-,-,-,-,-,-,-,02 宜蘭縣,2 技職
1291,聖母醫護管理專科學校,D 日,5 五專,"2,150",406,"1,744",58,279,66,302,73,304,73,390,122,432,-,-,-,-,14,37,02 宜蘭縣,2 技職
1291,聖母醫護管理專科學校,N 修,2 二專,38,18,20,11,11,7,9,-,-,-,-,-,-,-,-,-,-,-,-,02 宜蘭縣,2 技職
1292,新生醫護管理專科學校,D 日,5 五專,"6,004",763,"5,241",174,"1,109",147,"1,034",130,"1,006",139,963,138,983,-,-,-,-,35,146,03 桃園市,2 技職
1292,新生醫護管理專科學校,N 修,2 二專,60,9,51,7,31,2,20,-,-,-,-,-,-,-,-,-,-,-,-,03 桃園市,2 技職
1293,崇仁醫護管理專科學校,D 日,5 五專,"3,293",425,"2,868",95,551,75,582,78,535,86,577,74,578,-,-,-,-,17,45,10 嘉義縣,2 技職
3002,臺北市立大學,D 日,D 博士,225,99,126,15,22,14,15,14,15,12,9,15,14,11,14,18,37,-,-,30 臺北市,1 一般
3002,臺北市立大學,D 日,M 碩士,"1,288",457,831,151,261,146,214,71,147,48,149,26,26,15,34,-,-,-,-,30 臺北市,1 一般
3002,臺北市立大學,D 日,B 學士,"5,351","2,355","2,996",578,728,531,719,527,713,505,679,-,-,-,-,-,-,214,157,30 臺北市,1 一般
3002,臺北市立大學,N 職,M 碩士,"1,122",313,809,104,273,104,261,47,115,25,84,20,41,13,35,-,-,-,-,30 臺北市,1 一般
